,SaleID,price
0,150000,2572.4604
1,150001,89.76106
2,150002,538.14874
3,150003,523.823
4,150004,92.71717
5,150005,119.38922
6,150006,330.6829
7,150007,355.45605
8,150008,210.66434
9,150009,222.6154
10,150010,229.32652
11,150011,509.49506
12,150012,201.9009
13,150013,690.21
14,150014,455.6818
15,150015,89.41765
16,150016,96.06552
17,150017,532.64886
18,150018,850.3971
19,150019,153.3288
20,150020,362.58817
21,150021,885.4343
22,150022,168.61737
23,150023,1202.6514
24,150024,162.0668
25,150025,549.7497
26,150026,154.22525
27,150027,309.04523
28,150028,1455.6184
29,150029,537.8156
30,150030,179.54518
31,150031,66.135826
32,150032,257.47824
33,150033,305.84326
34,150034,247.16386
35,150035,491.75357
36,150036,121.55402
37,150037,315.34586
38,150038,1682.4756
39,150039,142.05286
40,150040,920.61676
41,150041,227.81154
42,150042,689.77045
43,150043,1471.4188
44,150044,481.28745
45,150045,178.53716
46,150046,275.83154
47,150047,4647.205
48,150048,122.58427
49,150049,2284.0627
50,150050,313.1293
51,150051,385.94748
52,150052,177.83846
53,150053,89.21678
54,150054,661.65393
55,150055,275.07272
56,150056,131.31204
57,150057,200.47745
58,150058,111.622314
59,150059,235.67146
60,150060,830.57666
61,150061,314.60443
62,150062,129.79762
63,150063,544.5603
64,150064,1197.4717
65,150065,349.5798
66,150066,753.28674
67,150067,326.99545
68,150068,131.4105
69,150069,363.6591
70,150070,185.48682
71,150071,91.769775
72,150072,115.71158
73,150073,1714.5975
74,150074,73.09526
75,150075,161.92618
76,150076,230.91101
77,150077,252.96472
78,150078,242.37447
79,150079,386.57614
80,150080,246.31436
81,150081,242.20685
82,150082,650.7256
83,150083,90.69026
84,150084,309.13742
85,150085,261.2832
86,150086,3084.77
87,150087,89.87718
88,150088,298.00952
89,150089,370.9923
90,150090,111.803566
91,150091,442.17426
92,150092,489.7685
93,150093,122.67177
94,150094,471.3244
95,150095,67.38282
96,150096,1351.7214
97,150097,649.69037
98,150098,93.50082
99,150099,73.35817
100,150100,113.15608
101,150101,309.79755
102,150102,134.17526
103,150103,264.9464
104,150104,368.82635
105,150105,117.48663
106,150106,123.947914
107,150107,91.90329
108,150108,580.21606
109,150109,169.06616
110,150110,324.14517
111,150111,144.10287
112,150112,1008.89166
113,150113,144.11472
114,150114,123.56335
115,150115,253.93294
116,150116,461.66568
117,150117,280.84036
118,150118,1116.5386
119,150119,977.49646
120,150120,612.3958
121,150121,137.41026
122,150122,526.78076
123,150123,61.347218
124,150124,1036.3645
125,150125,289.9583
126,150126,227.06763
127,150127,307.39444
128,150128,2927.6003
129,150129,208.28911
130,150130,275.98126
131,150131,118.66372
132,150132,298.09735
133,150133,436.6171
134,150134,471.22644
135,150135,136.80936
136,150136,148.43994
137,150137,232.95929
138,150138,384.9224
139,150139,121.879364
140,150140,187.81142
141,150141,157.43277
142,150142,814.5926
143,150143,384.65424
144,150144,136.36078
145,150145,160.03265
